archisuppôt,"(historical) a high-ranking member of criminal gang renown for his knowledge, often a former student or defrocked priest, who invented and taught criminal slang to other members"
architecte,architect (a designer of buildings)
architecte d'intérieur,interior designer
architecteur,architectural
architectonie,Synonym of architecture
architectonique,architectonic
architectoniquement,architectonically
architectural,architectural
architecturalement,architecturally
architecture,architecture
architecture d'intérieur,interior design
architecturer,to architect
architransème,(translation studies) an architranseme
architrave,architrave
architravé,(architecture) architraved
archivage,filingarchiving
archive,"(rare) an item in an archive, a document kept for historical interest"
archiver,to archive
archives,"archive, the historical material (usually documents) considered as a wholeplace for storing archives"
archiviste,archivist
archivistique,"archivistic, archival"
archivolte,archivolt
archière,"loophole, arrowslit (in the wall of a castle)"
archiépiscopal,archiepiscopal
archiépiscopat,archbishopric
archontat,archonship
archonte,(historical) archon
archère,Synonym of archière
archèterie,(music) bowmaking
archéal,archeal
archée,(biology) archaean
archéen,(relational) of ArchesArchean
archégone,(botany) archegonium
archéoastronome,(astronomy) archaeoastronomer
archéoastronomie,(astronomy) archaeoastronomy
archéobactérie,archeobacterium
archéographique,"archeographic, archaeographic"
archéolithique,"archeolithic, archaeolithic"
archéologie,archaeology (scientific study of past remains)
archéologique,(relational) archaeological (relating to the science or research of archaeology)
archéologiquement,archaeologically
archéologue,"archaeologist (someone who is skilled, professes or practices archaeology)"
archéomagnétisme,archaeomagnetism / archeomagnetism
archéométallurgique,"archeometallurgical, archaeometallurgical"
archéométrie,archeometry
archéométrique,"archeometric, archaeometric"
archéozoologique,archaeozoological
archétypal,archetypal
archétype,archetypal
archétypique,"archetypal, archetypic, archetypical"
arcimboldien,Arcimboldian
arctique,"(geography, relational) of the Arctic; Arctic"
arctitude,(medicine) arctation
arcturien,Arcturian
arcure,arcure
ardemment,ardently
ardennais,(relational) of the Ardennes
ardennaisement,In a manner typical of the Ardennes
ardent,"fiery, burning; ablaze; aflamefervent; passionate"
ardeur,"intense heat(figuratively) ardour, fervour, passion"
ardillon,tongue (of buckle)barb (of fishhook)
ardoise,"slate (rock)a small, portable chalkboard(figuratively) an unpaid billslate (bar tab)"
ardoiser,to cover with slates (or with a slate colour)to put it on the slate (pay with an informal credit account)
ardoisier,(relational) slate; slaty
ardoisé,slate gray
