〇,0; zéro,ling2
〡,1 dans la numération Suzhou,yi1
〢,2 dans la numération Suzhou,er4
〣,3 dans la numération Suzhou,san1
〤,4 dans la numération Suzhou,si4
〥,5 dans la numération Suzhou,wu3
〦,6 dans la numération Suzhou,liu4
〧,7 dans la numération Suzhou,qi1
〨,8 dans la numération Suzhou,ba1
〩,9 dans la numération Suzhou,jiu3
ㄅ,Première lettre de l'alphabet bopomofo,bo1
㑇,(arch.) beau; malin,zhou4
㑩,malin; intelligent,luo2
㓖,froid mordant; vent du nord,bie2
㛂,gracieuse; frêle et petite,nuo3
㞞,(famil.) sperme; faible et incompétent,song2
㥏,honteux,tian3
㱩,avortement; mort-né,du2
㵮,eau claire,chun2
㶶,(dial.) bruler; roussir,nong2
㹴,chien féroce,geng3
㺵,jade noir,jiu2
䅵,balle; son de blé,zhuo2
䌷,(soie),chou2
䍃,(arch.) vase; pichet,yao2
䓕,(arch.) type d'herbe,wei3
䓛,chrysène,gu3
䕭,(variété d'herbe); ortie,qian2
䕭,(sorte de légume),xian2
䗖蝀,(arch.) arc-en-ciel,di4 dong1
䗪,coccinelle chinoise (eupolyphaga sinensis),zhe4
䝙,(arch.) animal ressemblant à un tigre,chu1
䥑,Meitnérium,mai4
䫏,masque d'un dieu utilisé durant les cérémonies pour exorciser les démons et écarter la peste; (arch.) moche,qi1
䴕,pivert,lie4
䶮,élevé et lumineux,yan3
一,1 (nombre); un,yi1
一一,yi yi,yi1 yi1
一七线,17ème parallèle nord,yi1 qi1 xian4
一万,myriade,yi1 wan4
一下,une fois; tout d'un coup; subitement,yi1 xia4
一下子,net,yi1 xia4 zi5
一世,une génération,yi1 shi4
一丘之貉,être des chacals de la même tanière; de la même farine; du même tabac; de la même espèce; du même acabit,yi1 qiu1 zhi1 he2
一丝一毫,"littéralement : un fil, un poil; un tout petit peu; un brin; un iota; un poil",yi1 si1 yi1 hao2
一丝不挂,tout nu; nu comme un ver,yi1 si1 bu4 gua4
一丝不苟,être très scrupuleux; méticuleux; minutieux; exécuter toutes choses avec une extrême minutie et une extrême exactitude; mettre beaucoup de ponctualité et de minutie à faire son travail; travailler,yi1 si1 bu4 gou3
一个,un; une,yi1 ge4
一个劲儿,constamment,yi1 ge4 jin4 r
一个星期,(pendant) une semaine,yi1 ge5 xing1 qi1
一个月,un mois,yi1 ge4 yue4
一个样,le même,yi1 ge5 yang4
一个萝卜一个坑,(expr. idiom.) Chacun et chaque chose à sa place,yi1 ge4 luo2 bo5 yi1 ge4 keng1
一串,brochette,yi1 chuan4
一串红,Salvia splendens,yi1 chuan4 hong2
一举,coup,yi1 ju3
一举一动,chaque mouvement,yi1 ju3 yi1 dong4
一举两得,(expr. idiom.) atteindre deux objectifs d'un seul mouvement; réussir à faire deux choses en une action; faire d'une pierre deux coups,yi1 ju3 liang3 de2
一九八四,1984 (roman),yi1 jiu3 ba1 si4
一了百了,"une fois que le problème principal est réglé, tous les problèmes sont réglés; la mort met fin à tous les problèmes",yi1 liao3 bai3 liao3
一事无成,ne réussir à rien; n'aboutir à rien; sans arriver à rien,yi1 shi4 wu2 cheng2
一二,un ou deux; un peu,yi1 er4
一五一十,raconter en détail ou tout au long,yi1 wu3 yi1 shi2
一些,un certain nombre de,yi1 xie1
一亿,cent millions,yi1 yi4
一介不取,ne pas prendre même un centime (comme pot de vin),yi1 jie4 bu4 qu3
一代,génération,yi1 dai4
一件,un courrier; un document,yi1 jian4
一份,une part; une portion,yi1 fen4
一休,Ikkyu Sojun,yi1 xiu1
一会,un moment; un certain temps; en un moment,yi1 hui4
一会儿,un moment; un instant; dans un moment; bientôt; tantôt ... tantôt,yi1 hui4 r
一位,(spécificatif pour montrer le respect),yi1 wei4
一体,tout; totalité; ensemble (organique); tout le monde,yi1 ti3
一体化,intégration,yi1 ti3 hua4
一元论,Monisme,yi1 yuan2 lun4
一共,en tout,yi1 gong4
一再,à plusieurs reprises; plus d'une fois,yi1 zai4
一准,sans aucun doute; assurément,yi1 zhun3
一刀两断,rupture nette; résolution ferme de rompre une relation,yi1 dao1 liang3 duan4
一刀切,(expr. idiom.) couper tout d'un seul coup; imposer l'uniformité; une solution pour plusieurs problèmes,yi1 dao1 qie1
一分,Ippon,yi1 fen1
一分一毫,(expr. idiom.) un tout petit peu; un iota,yi1 fen1 yi1 hao2
一分为二,en deux; à deux faces,yi1 fen1 wei2 er4
一分钱,un centime,yi1 fen1 qian2
一切,tout,yi1 qie4
一切向钱看,placer l'argent au-dessus de tout le reste,yi1 qie4 xiang4 qian2 kan4
一切如旧,tout comme avant,yi1 qie4 ru2 jiu4
一切就绪,prêt,yi1 qie4 jiu4 xu4
一则,d'un côté; d'une part,yi1 ze2
一动不动,immobile,yi1 dong4 bu4 dong4
一千,mille; un millier,yi1 qian1
一半,un demi,yi1 ban4
一厢情愿,ses propres illusions,yi1 xiang1 qing2 yuan4
一去不复返,disparu à jamais,yi1 qu4 bu4 fu4 fan3
一双,une paire,yi1 shuang1
一反常态,anormalement; assez inhabituel; totalement en dehors de la norme,yi1 fan3 chang2 tai4
一口,bouchée,yi1 kou3
一口咬定,affirmer de façon arbitraire; alléguer; s'en tenir à sa déclaration; s'accrocher à son point de vue,yi1 kou3 yao3 ding4
一口气,d'un (seul) coup; d'une traite; d'un trait; un souffle (de vie),yi1 kou3 qi4
一句,un vers; une phrase,yi1 ju4
一句话,en un mot; pour faire court,yi1 ju4 hua4
一号,premier jour du mois,yi1 hao4
一号坦克,char Panzer I,yi1 hao4 tan3 ke4
一同,ensemble; en compagnie de; avec,yi1 tong2
一名,une personne,yi1 ming2
一向,de tout temps,yi1 xiang4
一吹,souffle,yi1 chui1
一周,semaine; huitaine,yi1 zhou1
一味,simplement; toujours; continuellement,yi1 wei4
一命呜呼,Mort,yi1 ming4 wu1 hu1
一哄而散,se disperser en faisant du tapage; se disperser comme une volée de moineaux; se disperser dans un grand tapage,yi1 hong4 er2 san4
一哄而起,se jeter tête baissée dans la confusion,yi1 hong1 er2 qi3
一唱一和,(expr. idiom.) faire écho à l'autre,yi1 chang4 yi1 he4
一回事,une chose; le même que,yi1 hui2 shi4
一团,agglomération,yi1 tuan2
一团和气,(expr. idiom.) être plein de bonhomie avec n'importe qui (sans principe); rester en bons termes avec l'intéressé; être affable avec le premier venu,yi1 tuan2 he2 qi4
一团火,boule de feu,yi1 tuan2 huo3
一团糟,chaos; désordre complet; pagaille,yi1 tuan2 zao1
一国两制,"Un pays, deux systèmes",yi1 guo2 liang3 zhi4
一场空,être tout en vain; être un effort futile; espoirs déçus,yi1 chang2 kong1
一块,morceau,yi1 kuai4
一块儿,ensemble; au même endroit,yi1 kuai4 r
一堆,pile; ramassis; agglomération,yi1 dui1
一塌糊涂,(expr. idiom.) pagaille; désordre; dans un état affreux,yi1 ta1 hu2 tu5
一壁,d'un côté; en même temps,yi1 bi4
一声,premier ton (en mandarin) (ton haut et plat); un son; spécificatif : un coup (de canon),yi1 sheng1
一夔已足,(expr. idiom.) une personne de talent est suffisante; un seul suffit,yi1 kui2 yi3 zu2
一夜爆红,devenir populaire du jour au lendemain,yi1 ye4 bao4 hong2
一大早,à l'aube; aux premières lueurs du jour,yi1 da4 zao3
一天,un jour,yi1 tian1
一天到晚,toute la journée; du matin au soir,yi1 tian1 dao4 wan3
一夫一妻制,monogamie,yi1 fu1 yi1 qi1 zhi4
一夫多妻,Polygynie,yi1 fu1 duo1 qi1
一头,directement; la tête la première,yi1 tou2
一套,"batterie (cuisine, etc.); suite; ensemble",yi1 tao4
一如,comme,yi1 ru2
一如既往,(expr. idiom.) tout comme dans le passé; éternel; comme avant; comme toujours,yi1 ru2 ji4 wang3
一妻制,monogamie,yi1 qi1 zhi4
一孔之见,vue partielle; perspectives limitées,yi1 kong3 zhi1 jian4
一字,dans une rangée; en ligne; aligné,yi1 zi4
一字不差,mot pour mot; textuellement,yi1 zi4 bu4 cha1
一字不识,(expr. idiom.) être incapable de distinguer le bon du mauvais; illettré; analphabète,yi1 zi4 bu4 shi2
一字千金,(expr. idiom.) littéralement : un caractère mille unités d'or (utilisée pour juger de la valeur d'une oeuvre littéraire ou d'une opinion); parler d'or; donner des conseils précieux,yi1 zi4 qian1 jin1
一定,certainement; sûrement; certain; déterminé; fixe,yi1 ding4
一定要,il faut,yi1 ding4 yao4
一审,première instance (en droit),yi1 shen3
一家,toute la famille; la même famille,yi1 jia1
一家子,toute la famille,yi1 jia1 zi5
一对,couple; paire; duo,yi1 dui4
一小时,une heure,yi1 xiao3 shi2
一尘不染,(expr. idiom.) désintéressé et incorruptible; impeccable,yi1 chen2 bu4 ran3
一局,partie,yi1 ju2
一层,couche (strate),yi1 ceng2
一巴掌,claque,yi1 ba1 zhang3
一帆风顺,(expr. idiom.) avoir le vent favorable; aller comme sur des roulettes; avoir le vent en poupe; Bon voyage!,yi1 fan1 feng1 shun4
一带,région; district; zone,yi1 dai4
一席之地,un lieu pour soi-même; niche,yi1 xi2 zhi1 di4
一席话,teneur de la conversation; mots; remarques,yi1 xi2 hua4
一干二净,(expr. idiom.) complètement; tout à fait; parfaitement; purement et simplement,yi1 gan1 er4 jing4
一年到头,toute l'année,yi1 nian2 dao4 tou2
一年半,un an et demi,yi1 nian2 ban4
一年四季,les quatre saisons de l'année,yi1 nian2 si4 ji4
一年多,plus d'un an,yi1 nian2 duo1
一年期,période d'un an (dans un contrat ou le budget),yi1 nian2 qi1
一年被蛇咬十年怕井绳,(expr. idiom.) celui qui a été mordu par un serpent une année a peur de la corde du puits pendant dix ans; chat échaudé craint l'eau froide,yi1 nian2 bei4 she2 yao3 shi2 nian2 pa4 jing3 sheng2
一并,entièrement; ensemble,yi1 bing4
一应,tous; chaque,yi1 ying1
一应俱全,avec tout le nécessaire disponible,yi1 ying1 ju4 quan2
一度,une fois; en un moment,yi1 du4
一张,feuille,yi1 zhang1
一张纸,une feuille de papier,yi1 zhang1 zhi3
一弹指顷,(expr. idiom.) un claquement de doigts; en un flash; en un clin d'oeil,yi1 tan2 zhi3 qing3
一往情深,profondément attaché; consacré,yi1 wang3 qing2 shen1
